Disease,MMWR year,MMWR week,Current week,"Current week, flag",Cum 2018,"Cum 2018, flag",5-year weekly average§,"5-year weekly average§, flag",Total cases reported for pervious years  2017,"Total cases reported for pervious years 2017, flag",Total cases reported for pervious years 2016,"Total cases reported for pervious years 2016, flag",Total cases reported for pervious years 2015,"Total cases reported for pervious years 2015, flag",Total cases reported for pervious years 2014,"Total cases reported for pervious years 2014, flag",Total cases reported for pervious years 2013,"Total cases reported for pervious years 2013, flag",States reporting cases during current week (No.) 
"Hepatitis B, perinatal infection",2018,19,,-,5,,1,,28,,34,,37,,47,,48,,
"Botulism, other (wound and unspecified)",2018,19,,-,5,,0,,19,,26,,20,,19,,12,,
"Meningococcal disease, Serogroups ACWY",2018,19,2,,34,,3,,82,,126,,120,,123,,142,,"CO (1 ), WA (1 )"
"Q fever¶, acute",2018,19,1,,30,,4,,130,,132,,122,,132,,137,,ID (1 )
Yellow fever,2018,19,,-,,-,,-,,-,,-,,-,,-,,-,
Paratyphoid fever¶¶,2018,19,,-,12,,,NA,,NA,,NA,,NA,,NA,,NA,
Hantavirus pulmonary syndrome¶ ,2018,19,,-,2,,1,,12,,31,,21,,32,,21,,
"Meningococcal disease, Unknown serogroup",2018,19,2,,67,,3,,185,,142,,120,,196,,298,,"OH (1 ), OR (1 )"
Hansen's disease¶,2018,19,,-,7,,2,,86,,78,,89,,88,,81,,
Anthrax,2018,19,,-,,-,,-,,-,,-,,-,,-,,-,
"Viral hemorrhagic fevers***, Lujo virus",2018,19,,-,,-,,-,,-,,-,,-,,NP,,NP,
Plague,2018,19,,-,,-,0,,1,,4,,16,,10,,4,,
"Viral hemorrhagic fevers***, Ebola virus ",2018,19,,-,,-,,-,,-,,-,,-,4,,,NP,
"Haemophilus influenzae, invasive disease, age <5 years, Unknown serotype",2018,19,5,,104,,4,,252,,187,,167,,39,,34,,"OH (1 ), FL (2 ), OK (1 ), AZ (1 )"
"Q fever¶, total",2018,19,1,,36,,4,,165,,164,,156,,168,,170,,
Vancomycin-intermediate Staphylococcus aureus¶,2018,19,1,,20,,3,,106,,108,,183,,212,,248,,OH (1 )
"Influenza-associated pediatric mortality¶,**",2018,19,3,,157,,3,,126,,82,,130,,141,,160,,"RI (1 ), VA (1 ), NC (1 )"
Severe acute respiratory syndrome-associated coronavirus disease (SARS-CoV),2018,19,,-,,-,,-,,-,,-,,-,,-,,-,
Chancroid,2018,19,,-,3,,0,,7,,11,,11,,,-,,-,
Streptococcal toxic-shock syndrome¶,2018,19,,-,125,,7,,347,,283,,335,,259,,224,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Eastern equine encephalitis virus disease",2018,19,,-,,-,0,,5,,7,,6,,8,,8,,
"Viral hemorrhagic fevers***, Crimean-Congo hemorrhagic fever virus",2018,19,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Meningococcal disease, Other serogroups",2018,19,1,,11,,0,,19,,21,,21,,25,,17,,WA (1 )
"Viral hemorrhagic fevers***, Lujo virus",2018,20,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Powassan virus disease",2018,20,,-,1,,1,,34,,22,,7,,8,,12,,
"Poliomyelitis, paralytic",2018,20,,-,,-,,-,,-,,-,,-,,-,1,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, St. Louis encephalitis virus disease",2018,20,,-,,-,0,,11,,8,,23,,10,,1,,
Psittacosis¶,2018,20,,-,3,,0,,5,,12,,4,,8,,6,,
"Botulism, infant",2018,20,,-,48,,2,,119,,144,,138,,127,,136,,
"Hantavirus infection, non-hantavirus pulmonary syndrome¶",2018,20,,-,,-,0,,,-,6,,3,,,NN,,NN,
"Viral hemorrhagic fever***, Marburg virus",2018,20,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Polio virus Infection, nonparalytic¶",2018,20,,-,,-,,-,,-,,-,,-,,-,,-,
Leptospirosis¶,2018,20,,-,19,,1,,64,,78,,40,,38,,,NN,
"Viral hemorrhagic fevers***, Machupo virus",2018,20,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Eastern equine encephalitis virus disease",2018,20,,-,,-,0,,5,,7,,6,,8,,8,,
"Viral hemorrhagic fevers***, Lassa virus",2018,20,,-,,-,,-,,-,,-,1,,1,,,NP,
"Meningococcal disease, Serogroups ACWY",2018,20,,-,35,,3,,88,,126,,120,,123,,142,,
"Meningococcal disease, Other serogroups",2018,20,1,,12,,0,,19,,21,,21,,25,,17,,TX (1 )
Tularemia,2018,20,7,,15,,6,,215,,230,,314,,180,,203,,"MO (3 ), TN (1 ), OK (3 )"
Smallpox,2018,20,,-,,-,,-,,-,,-,,-,,-,,-,
"Meningococcal disease, Unknown serogroup",2018,20,1,,68,,4,,177,,142,,120,,196,,298,,OR (1 )
"Q fever¶, total",2018,20,,-,44,,5,,182,,164,,156,,168,,170,,
"Influenza-associated pediatric mortality¶,**",2018,20,1,,158,,2,,126,,82,,130,,141,,160,,VA (1 )
Novel Influenza A virus infections§§,2018,20,,-,,-,0,,66,,23,,7,,3,,21,,
"Rabies, human",2018,20,,-,1,,0,,2,,,-,2,,1,,2,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Jamestown Canyon virus disease ",2018,20,,-,,-,1,,76,,15,,11,,11,,22,,
Chancroid,2018,20,,-,3,,0,,7,,11,,11,,,-,,-,
Cholera,2018,20,,-,,-,0,,4,,15,,5,,5,,14,,
Hantavirus pulmonary syndrome¶ ,2018,20,,-,2,,1,,12,,31,,21,,32,,21,,
"Botulism, foodborne",2018,20,,-,4,,0,,18,,31,,37,,15,,4,,
"Q fever¶, chronic",2018,20,,-,8,,1,,33,,32,,34,,36,,33,,
Yellow fever,2018,20,,-,,-,,-,,-,,-,,-,,-,,-,
Vancomycin-intermediate Staphylococcus aureus¶,2018,20,,-,21,,3,,108,,108,,183,,212,,248,,
Listeriosis,2018,20,2,,156,,13,,890,,786,,768,,769,,735,,"FL (1 ), WA (1 )"
"Q fever¶, acute",2018,20,,-,36,,4,,149,,132,,122,,132,,137,,
Anthrax,2018,20,,-,,-,,-,,-,,-,,-,,-,,-,
"Viral hemorrhagic fevers***, Guanarito virus",2018,20,,-,,-,,-,,-,,-,,-,,NP,,NP,
Diphtheria,2018,20,,-,,-,,-,,-,,-,,-,1,,,-,
Toxic-shock syndrome (other than Streptococcal)¶,2018,20,,-,8,,1,,30,,40,,64,,59,,71,,
"Viral hemorrhagic fevers***, Crimean-Congo hemorrhagic fever virus",2018,20,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Hepatitis B, perinatal infection",2018,20,,-,5,,1,,28,,34,,37,,47,,48,,
"Haemophilus influenzae, invasive disease, age <5 years, Unknown serotype",2018,20,4,,115,,4,,247,,187,,167,,39,,34,,"FL (2 ), TX (1 ), AK (1 )"
"Syphilis, congenital",2018,20,,-,166,,10,,876,,633,,493,,458,,348,,
Severe acute respiratory syndrome-associated coronavirus disease (SARS-CoV),2018,20,,-,,-,,-,,-,,-,,-,,-,,-,
Streptococcal toxic-shock syndrome¶,2018,20,2,,127,,7,,369,,283,,335,,259,,224,,"NY (1 ), OH (1 )"
Hansen's disease¶,2018,20,,-,13,,2,,83,,78,,89,,88,,81,,
Vancomycin-resistant Staphylococcus aureus¶,2018,20,,-,,-,,-,,-,,-,3,,,-,,-,
Typhoid fever ,2018,20,1,,85,,7,,385,,376,,367,,349,,338,,VA (1 )
Trichinellosis¶,2018,20,,-,,-,0,,8,,26,,14,,14,,22,,
"Viral hemorrhagic fevers***, Ebola virus ",2018,20,,-,,-,,-,,-,,-,,-,4,,,NP,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Western equine encephalitis virus disease",2018,20,,-,,-,,-,,-,,-,,-,,-,,-,
"Haemophilus influenzae, invasive disease, age <5 years, Serotype b",2018,20,1,,9,,0,,27,,30,,29,,40,,31,,MT (1 )
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, La Crosse virus disease ",2018,20,,-,,-,0,,63,,35,,55,,80,,85,,
Paratyphoid fever¶¶,2018,20,1,,13,,,NA,,NA,,NA,,NA,,NA,,NA,AL (1 )
"Meningococcal disease, Serogroup B",2018,20,,-,22,,2,,78,,86,,111,,89,,99,,
Cyclosporiasis¶,2018,20,,-,28,,6,,1108,,535,,645,,388,,784,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Chikungunya virus disease",2018,20,,-,11,,4,,156,,247,,896,,,NN,,NN,
"Viral hemorrhagic fever***, Sabia virus",2018,20,,-,,-,,-,,-,,-,,-,,NP,,NP,
Measles††,2018,20,,-,67,,13,,121,,85,,188,,667,,187,,
"Hemolytic uremic syndrome, postdiarrheal¶",2018,20,2,,43,,5,,290,,307,,274,,250,,329,,"NY (1 ), GA (1 )"
"Haemophilus influenzae, invasive disease, age <5 years, Non-b serotype ",2018,20,1,,69,,3,,172,,196,,175,,128,,141,,TX (1 )
"Botulism, total",2018,20,,-,58,,3,,157,,201,,195,,161,,152,,
"Botulism, other (wound and unspecified)",2018,20,,-,6,,0,,20,,26,,20,,19,,12,,
Plague,2018,20,,-,,-,0,,1,,4,,16,,10,,4,,
"Viral hemorrhagic fevers***, Junin virus",2018,20,,-,,-,,-,,-,,-,,-,,NP,,NP,
Brucellosis,2018,20,,-,28,,3,,123,,127,,126,,92,,99,,
"Haemophilus influenzae, invasive disease, age <5 years, Nontypeable",2018,20,1,,59,,2,,172,,159,,135,,266,,233,,AK (1 )
"Viral hemorrhagic fever***, Sabia virus",2018,21,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Haemophilus influenzae, invasive disease, age <5 years, Unknown serotype",2018,21,2,,118,,4,,230,,187,,167,,39,,34,,"NYC (1 ), AZ (1 )"
"Viral hemorrhagic fevers***, Crimean-Congo hemorrhagic fever virus",2018,21,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Influenza-associated pediatric mortality¶,**",2018,21,2,,160,,2,,126,,82,,130,,141,,160,,"NJ (1 ), NM (1 )"
"Botulism, other (wound and unspecified)",2018,21,,-,7,,0,,21,,26,,20,,19,,12,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Jamestown Canyon virus disease ",2018,21,,-,,-,1,,76,,15,,11,,11,,22,,
"Meningococcal disease, Other serogroups",2018,21,,-,12,,0,,21,,21,,21,,25,,17,,
Toxic-shock syndrome (other than Streptococcal)¶,2018,21,,-,9,,1,,30,,40,,64,,59,,71,,
"Rabies, human",2018,21,,-,1,,0,,2,,,-,2,,1,,2,,
Vancomycin-intermediate Staphylococcus aureus¶,2018,21,,-,21,,3,,108,,108,,183,,212,,248,,
"Viral hemorrhagic fevers***, Junin virus",2018,21,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Haemophilus influenzae, invasive disease, age <5 years, Serotype b",2018,21,,-,9,,0,,29,,30,,29,,40,,31,,
Cholera,2018,21,,-,2,,0,,4,,15,,5,,5,,14,,
"Viral hemorrhagic fevers***, Guanarito virus",2018,21,,-,,-,,-,,-,,-,,-,,NP,,NP,
Severe acute respiratory syndrome-associated coronavirus disease (SARS-CoV),2018,21,,-,,-,,-,,-,,-,,-,,-,,-,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Powassan virus disease",2018,21,,-,1,,1,,34,,22,,7,,8,,12,,
Trichinellosis¶,2018,21,,-,,-,0,,16,,26,,14,,14,,22,,
Chancroid,2018,21,,-,3,,0,,7,,11,,11,,,-,,-,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, St. Louis encephalitis virus disease",2018,21,,-,,-,0,,11,,8,,23,,10,,1,,
Cyclosporiasis¶,2018,21,8,,44,,8,,1108,,535,,645,,388,,784,,"OH (2 ), IA (3 ), CO (1 ), AZ (2 )"
"Viral hemorrhagic fever***, Marburg virus",2018,21,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Q fever¶, chronic",2018,21,1,,8,,1,,30,,32,,34,,36,,33,,VA (1 )
"Meningococcal disease, Unknown serogroup",2018,21,2,,71,,3,,168,,142,,120,,196,,298,,"MA (1 ), NE (1 )"
"Viral hemorrhagic fevers***, Lassa virus",2018,21,,-,,-,,-,,-,,-,1,,1,,,NP,
"Viral hemorrhagic fevers***, Machupo virus",2018,21,,-,,-,,-,,-,,-,,-,,NP,,NP,
Smallpox,2018,21,,-,,-,,-,,-,,-,,-,,-,,-,
Streptococcal toxic-shock syndrome¶,2018,21,,-,130,,6,,369,,283,,335,,259,,224,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Western equine encephalitis virus disease",2018,21,,-,,-,,-,,-,,-,,-,,-,,-,
"Q fever¶, total",2018,21,1,,47,,4,,192,,164,,156,,168,,170,,
"Poliomyelitis, paralytic",2018,21,,-,,-,,-,,-,,-,,-,,-,1,,
"Viral hemorrhagic fevers***, Ebola virus ",2018,21,,-,,-,,-,,-,,-,,-,4,,,NP,
Brucellosis,2018,21,,-,28,,3,,125,,127,,126,,92,,99,,
Diphtheria,2018,21,,-,,-,,-,,-,,-,,-,1,,,-,
Tularemia,2018,21,,-,16,,7,,237,,230,,314,,180,,203,,
Hantavirus pulmonary syndrome¶ ,2018,21,,-,2,,1,,12,,31,,21,,32,,21,,
"Viral hemorrhagic fevers***, Lujo virus",2018,21,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Botulism, foodborne",2018,21,,-,4,,1,,19,,31,,37,,15,,4,,
"Meningococcal disease, Serogroup B",2018,21,,-,22,,1,,81,,86,,111,,89,,99,,
Psittacosis¶,2018,21,,-,3,,0,,5,,12,,4,,8,,6,,
Plague,2018,21,,-,,-,0,,1,,4,,16,,10,,4,,
"Botulism, infant",2018,22,1,,59,,2,,119,,144,,138,,127,,136,,PA (1 )
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Eastern equine encephalitis virus disease",2018,21,,-,,-,0,,5,,7,,6,,8,,8,,
Typhoid fever ,2018,21,6,,94,,6,,411,,376,,367,,349,,338,,"PA (1 ), AZ (1 ), WA (4 )"
Measles††,2018,21,3,,72,,15,,122,,85,,188,,667,,187,,"NY (1 ), MD (1 ), LA (1 )"
Yellow fever,2018,21,,-,,-,,-,,-,,-,,-,,-,,-,
"Hepatitis B, perinatal infection",2018,21,1,,6,,1,,29,,34,,37,,47,,48,,PA (1 )
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Chikungunya virus disease",2018,21,,-,11,,4,,156,,247,,896,,,NN,,NN,
Listeriosis,2018,21,5,,164,,13,,890,,786,,768,,769,,735,,"NY (2 ), PA (1 ), VA (2 )"
"Botulism, total",2018,21,1,,66,,4,,159,,201,,195,,161,,152,,
"Hantavirus infection, non-hantavirus pulmonary syndrome¶",2018,21,,-,,-,0,,,-,6,,3,,,NN,,NN,
Leptospirosis¶,2018,21,,-,19,,1,,71,,78,,40,,38,,,NN,
Vancomycin-resistant Staphylococcus aureus¶,2018,21,,-,,-,,-,,-,,-,3,,,-,,-,
"Haemophilus influenzae, invasive disease, age <5 years, Nontypeable",2018,21,1,,63,,2,,176,,159,,135,,266,,233,,AZ (1 )
"Hemolytic uremic syndrome, postdiarrheal¶",2018,21,3,,48,,6,,293,,307,,274,,250,,329,,"OK (2 ), TX (1 )"
"Polio virus Infection, nonparalytic¶",2018,21,,-,,-,,-,,-,,-,,-,,-,,-,
Anthrax,2018,21,,-,,-,,-,,-,,-,,-,,-,,-,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, La Crosse virus disease ",2018,21,,-,,-,0,,63,,35,,55,,80,,85,,
"Syphilis, congenital",2018,21,,-,180,,10,,919,,633,,493,,458,,348,,
Novel Influenza A virus infections§§,2018,21,,-,,-,,-,66,,23,,7,,3,,21,,
"Q fever¶, acute",2018,21,,-,39,,4,,162,,132,,122,,132,,137,,
Paratyphoid fever¶¶,2018,21,,-,13,,,NA,,NA,,NA,,NA,,NA,,NA,
"Haemophilus influenzae, invasive disease, age <5 years, Non-b serotype ",2018,21,3,,71,,3,,183,,196,,175,,128,,141,,"NY (1 ), OH (1 ), WA (1 )"
Hansen's disease¶,2018,21,,-,13,,2,,84,,78,,89,,88,,81,,
"Meningococcal disease, Serogroups ACWY",2018,21,,-,35,,3,,92,,126,,120,,123,,142,,
"Botulism, infant",2018,21,1,,55,,2,,119,,144,,138,,127,,136,,VA (1 )
"Meningococcal disease, Unknown serogroup",2018,22,4,,78,,3,,167,,142,,120,,196,,298,,"NY (1 ), NYC (1 ), WA (2 )"
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, St. Louis encephalitis virus disease",2018,22,,-,,-,0,,11,,8,,23,,10,,1,,
"Polio virus Infection, nonparalytic¶",2018,22,,-,,-,,-,,-,,-,,-,,-,,-,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Jamestown Canyon virus disease ",2018,22,,-,,-,1,,76,,15,,11,,11,,22,,
Novel Influenza A virus infections§§,2018,22,,-,,-,0,,66,,23,,7,,3,,21,,
"Haemophilus influenzae, invasive disease, age <5 years, Non-b serotype ",2018,22,3,,78,,3,,183,,196,,175,,128,,141,,"NM (2 ), AZ (1 )"
"Q fever¶, total",2018,22,,-,49,,5,,192,,164,,156,,168,,170,,
Leptospirosis¶,2018,22,1,,20,,1,,71,,78,,40,,38,,,NN,WA (1 )
"Viral hemorrhagic fevers***, Junin virus",2018,22,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Viral hemorrhagic fevers***, Guanarito virus",2018,22,,-,,-,,-,,-,,-,,-,,NP,,NP,
Listeriosis,2018,22,5,,173,,14,,897,,786,,768,,769,,735,,"PA (1 ), FL (1 ), AZ (1 ), WA (2 )"
"Botulism, total",2018,22,1,,71,,4,,159,,201,,195,,161,,152,,
Tularemia,2018,22,,-,17,,8,,236,,230,,314,,180,,203,,
Paratyphoid fever¶¶,2018,22,,-,13,,,NA,,NA,,NA,,NA,,NA,,NA,
"Viral hemorrhagic fever***, Sabia virus",2018,22,,-,,-,,-,,-,,-,,-,,NP,,NP,
Severe acute respiratory syndrome-associated coronavirus disease (SARS-CoV),2018,22,,-,,-,,-,,-,,-,,-,,-,,-,
Streptococcal toxic-shock syndrome¶,2018,22,,-,134,,6,,369,,283,,335,,259,,224,,
Measles††,2018,22,1,,78,,16,,121,,85,,188,,667,,187,,WA (1 )
Hansen's disease¶,2018,22,,-,17,,2,,83,,78,,89,,88,,81,,
"Viral hemorrhagic fevers***, Lassa virus",2018,22,,-,,-,,-,,-,,-,1,,1,,,NP,
"Hepatitis B, perinatal infection",2018,22,,-,6,,1,,29,,34,,37,,47,,48,,
Typhoid fever ,2018,22,1,,100,,6,,411,,376,,367,,349,,338,,NY (1 )
"Meningococcal disease, Serogroups ACWY",2018,22,3,,38,,2,,92,,126,,120,,123,,142,,WA (3 )
Brucellosis,2018,22,,-,31,,2,,125,,127,,126,,92,,99,,
"Viral hemorrhagic fevers***, Crimean-Congo hemorrhagic fever virus",2018,22,,-,,-,,-,,-,,-,,-,,NP,,NP,
Psittacosis¶,2018,22,,-,4,,0,,5,,12,,4,,8,,6,,
"Botulism, foodborne",2018,22,,-,4,,1,,19,,31,,37,,15,,4,,
"Viral hemorrhagic fever***, Marburg virus",2018,22,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Rabies, human",2018,22,,-,1,,0,,2,,,-,2,,1,,2,,
Trichinellosis¶,2018,22,,-,,-,0,,16,,26,,14,,14,,22,,
Chancroid,2018,22,,-,3,,0,,7,,11,,11,,,-,,-,
"Poliomyelitis, paralytic",2018,22,,-,,-,,-,,-,,-,,-,,-,1,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Powassan virus disease",2018,22,,-,1,,1,,34,,22,,7,,8,,12,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Chikungunya virus disease",2018,22,,-,11,,4,,156,,247,,896,,,NN,,NN,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Eastern equine encephalitis virus disease",2018,22,,-,,-,0,,5,,7,,6,,8,,8,,
Diphtheria,2018,22,,-,,-,,-,,-,,-,,-,1,,,-,
Vancomycin-resistant Staphylococcus aureus¶,2018,22,,-,,-,,-,,-,,-,3,,,-,,-,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Western equine encephalitis virus disease",2018,22,,-,,-,,-,,-,,-,,-,,-,,-,
Cholera,2018,22,,-,2,,0,,4,,15,,5,,5,,14,,
"Haemophilus influenzae, invasive disease, age <5 years, Unknown serotype",2018,22,4,,126,,3,,229,,187,,167,,39,,34,,"NY (1 ), FL (1 ), ID (1 ), AK (1 )"
Toxic-shock syndrome (other than Streptococcal)¶,2018,22,1,,10,,1,,30,,40,,64,,59,,71,,NYC (1 )
"Influenza-associated pediatric mortality¶,**",2018,22,1,,161,,1,,126,,82,,130,,141,,160,,NJ (1 )
Yellow fever,2018,22,,-,,-,,-,,-,,-,,-,,-,,-,
Hantavirus pulmonary syndrome¶ ,2018,22,,-,2,,1,,12,,31,,21,,32,,21,,
"Meningococcal disease, Serogroup B",2018,22,,-,24,,1,,81,,86,,111,,89,,99,,
"Viral hemorrhagic fevers***, Ebola virus ",2018,22,,-,,-,,-,,-,,-,,-,4,,,NP,
"Syphilis, congenital",2018,22,,-,183,,11,,919,,633,,493,,458,,348,,
"Hemolytic uremic syndrome, postdiarrheal¶",2018,22,1,,52,,6,,293,,307,,274,,250,,329,,TX (1 )
"Botulism, other (wound and unspecified)",2018,22,,-,8,,0,,21,,26,,20,,19,,12,,
Anthrax,2018,22,,-,,-,,-,,-,,-,,-,,-,,-,
"Haemophilus influenzae, invasive disease, age <5 years, Nontypeable",2018,22,,-,64,,2,,178,,159,,135,,266,,233,,
Vancomycin-intermediate Staphylococcus aureus¶,2018,22,1,,24,,3,,108,,108,,183,,212,,248,,MO (1 )
Smallpox,2018,22,,-,,-,,-,,-,,-,,-,,-,,-,
"Q fever¶, chronic",2018,22,,-,8,,1,,30,,32,,34,,36,,33,,
"Viral hemorrhagic fevers***, Lujo virus",2018,22,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Meningococcal disease, Other serogroups",2018,22,,-,12,,0,,22,,21,,21,,25,,17,,
"Viral hemorrhagic fevers***, Machupo virus",2018,22,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Hantavirus infection, non-hantavirus pulmonary syndrome¶",2018,22,,-,,-,,-,,-,6,,3,,,NN,,NN,
Plague,2018,22,,-,,-,0,,1,,4,,16,,10,,4,,
"Haemophilus influenzae, invasive disease, age <5 years, Serotype b",2018,22,1,,13,,0,,31,,30,,29,,40,,31,,NY (1 )
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, La Crosse virus disease ",2018,22,,-,,-,0,,63,,35,,55,,80,,85,,
"Q fever¶, acute",2018,22,,-,41,,4,,162,,132,,122,,132,,137,,
Cyclosporiasis¶,2018,22,10,,64,,12,,1132,,535,,645,,388,,784,,"NY (2 ), NYC (1 ), IA (2 ), MO (1 ), MD (1 ), CO (2 ), CA (1 )"
"Meningococcal disease, Serogroup B",2018,23,,-,24,,1,,81,,86,,111,,89,,99,,
Trichinellosis¶,2018,23,,-,,-,0,,16,,26,,14,,14,,22,,
"Viral hemorrhagic fever***, Sabia virus",2018,23,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Viral hemorrhagic fevers***, Lujo virus",2018,23,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Viral hemorrhagic fevers***, Ebola virus ",2018,23,,-,,-,,-,,-,,-,,-,4,,,NP,
"Haemophilus influenzae, invasive disease, age <5 years, Non-b serotype ",2018,23,,-,81,,3,,184,,196,,175,,128,,141,,
"Viral hemorrhagic fevers***, Machupo virus",2018,23,,-,,-,,-,,-,,-,,-,,NP,,NP,
Vancomycin-intermediate Staphylococcus aureus¶,2018,23,1,,25,,3,,109,,108,,183,,212,,248,,OH (1 )
Hansen's disease¶,2018,23,1,,18,,2,,90,,78,,89,,88,,81,,LA (1 )
Psittacosis¶,2018,23,,-,5,,0,,5,,12,,4,,8,,6,,
"Viral hemorrhagic fevers***, Junin virus",2018,23,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Q fever¶, total",2018,23,,-,54,,4,,193,,164,,156,,168,,170,,
"Hantavirus infection, non-hantavirus pulmonary syndrome¶",2018,23,,-,,-,,-,,-,6,,3,,,NN,,NN,
"Viral hemorrhagic fevers***, Lassa virus",2018,23,,-,,-,,-,,-,,-,1,,1,,,NP,
Typhoid fever ,2018,23,,-,116,,7,,426,,376,,367,,349,,338,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Jamestown Canyon virus disease ",2018,23,,-,,-,1,,76,,15,,11,,11,,22,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, St. Louis encephalitis virus disease",2018,23,,-,,-,0,,11,,8,,23,,10,,1,,
"Botulism, infant",2018,23,,-,60,,2,,120,,144,,138,,127,,136,,
"Polio virus Infection, nonparalytic¶",2018,23,,-,,-,,-,,-,,-,,-,,-,,-,
"Viral hemorrhagic fever***, Marburg virus",2018,23,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Rabies, human",2018,23,,-,1,,0,,2,,,-,2,,1,,2,,
"Botulism, other (wound and unspecified)",2018,23,,-,9,,0,,21,,26,,20,,19,,12,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Chikungunya virus disease",2018,23,,-,11,,5,,156,,247,,896,,,NN,,NN,
Measles††,2018,23,,-,82,,16,,121,,85,,188,,667,,187,,
"Viral hemorrhagic fevers***, Guanarito virus",2018,23,,-,,-,,-,,-,,-,,-,,NP,,NP,
Leptospirosis¶,2018,23,,-,20,,1,,71,,78,,40,,38,,,NN,
"Poliomyelitis, paralytic",2018,23,,-,,-,,-,,-,,-,,-,,-,1,,
"Influenza-associated pediatric mortality¶,**",2018,23,2,,163,,1,,126,,82,,130,,141,,160,,"AZ (1 ), PA (1 )"
"Meningococcal disease, Serogroups ACWY",2018,23,,-,38,,2,,92,,126,,120,,123,,142,,
"Q fever¶, chronic",2018,23,,-,10,,1,,30,,32,,34,,36,,33,,
"Q fever¶, acute",2018,23,,-,44,,4,,163,,132,,122,,132,,137,,
"Syphilis, congenital",2018,23,,-,190,,11,,918,,633,,493,,458,,348,,
Hantavirus pulmonary syndrome¶ ,2018,23,,-,2,,1,,12,,31,,21,,32,,21,,
"Hepatitis B, perinatal infection",2018,23,,-,6,,1,,33,,34,,37,,47,,48,,
Streptococcal toxic-shock syndrome¶,2018,23,2,,146,,5,,377,,283,,335,,259,,224,,"MO (1 ), VA (1 )"
Anthrax,2018,23,,-,,-,,-,,-,,-,,-,,-,,-,
"Meningococcal disease, Other serogroups",2018,23,,-,12,,0,,22,,21,,21,,25,,17,,
Listeriosis,2018,23,7,,182,,15,,897,,786,,768,,769,,735,,"VT (1 ), NY (3 ), OH (2 ), AZ (1 )"
Vancomycin-resistant Staphylococcus aureus¶,2018,23,,-,,-,,-,,-,,-,3,,,-,,-,
"Viral hemorrhagic fevers***, Crimean-Congo hemorrhagic fever virus",2018,23,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, La Crosse virus disease ",2018,23,1,,1,,1,,63,,35,,55,,80,,85,,TN (1 )
Smallpox,2018,23,,-,,-,,-,,-,,-,,-,,-,,-,
Diphtheria,2018,23,,-,,-,,-,,-,,-,,-,1,,,-,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Powassan virus disease",2018,23,,-,1,,1,,34,,22,,7,,8,,12,,
Chancroid,2018,23,,-,4,,0,,7,,11,,11,,,-,,-,
Tularemia,2018,23,,-,21,,9,,241,,230,,314,,180,,203,,
