Disease,MMWR year,MMWR week,Current week,"Current week, flag",Cum 2014,"Cum 2014, flag",5-year weekly average†,"5-year weekly average†, flag",Total cases reported  2013,"Total cases reported  2013, flag",Total cases reported 2012,"Total cases reported 2012, flag",Total cases reported 2011,"Total cases reported 2011, flag",Total cases reported 2010,"Total cases reported 2010, flag",Total cases reported 2009,"Total cases reported 2009, flag",States reporting cases during current week (No.) 
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,20,,-,67,,4,,222,,205,,145,,200,,236,,
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,20,1,,110,,4,,185,,210,,226,,223,,178,,FL (1 )
Hansen disease§,2014,20,,-,17,,2,,81,,82,,82,,98,,103,,
Hantavirus pulmonary syndrome§,2014,20,,-,4,,1,,15,,30,,23,,20,,20,,
"Hemolytic uremic syndrome, postdiarrheal§",2014,20,1,,29,,5,,326,,274,,290,,266,,242,,NYC (1 )
"Hepatitis B, virus infection perinatal",2014,20,,-,15,,1,,45,,40,,,U,,U,,U,
"Influenza-associated pediatric mortality§,††",2014,20,1,,86,,2,,164,,52,,118,,61,,358,,IL (1 )
Leptospirosis,2014,20,,-,4,,0,,,NN,,NN,,NN,,NN,,NN,
Listeriosis,2014,20,7,,149,,12,,731,,727,,870,,821,,851,,"NY (1 ), NYC (2 ), PA (2 ), AR (2 )"
Measles§§,2014,20,28,,220,,6,,185,,55,,220,,63,,71,,"OH (25 ), MO (2 ), WA (1 )"
"Meningococcal disease, invasive¶¶, A, C, Y, and W-135",2014,20,,-,45,,5,,142,,161,,257,,280,,301,,
"Meningococcal disease, invasive¶¶, serogroup B",2014,20,,-,26,,3,,98,,110,,159,,135,,174,,
"Meningococcal disease, invasive¶¶, other serogroup",2014,20,,-,5,,0,,18,,20,,20,,12,,23,,
"Meningococcal disease, invasive¶¶, unknown serogroup",2014,20,6,,122,,6,,301,,260,,323,,406,,482,,"NYC (1 ), MO (1 ), FL (2 ), TN (1 ), OK (1 )"
Novel influenza A virus infections***,2014,20,,-,,-,376,,21,,313,,14,,4,,43774,,
Plague,2014,20,,-,,-,0,,4,,4,,3,,2,,8,,
"Poliomyelitis, paralytic",2014,20,,-,,-,,-,1,,,-,,-,,-,1,,
"Polio virus Infection, nonparalytic§",2014,20,,-,,-,,-,,-,,-,,-,,-,,-,
Psittacosis§,2014,20,,-,,-,0,,6,,2,,2,,4,,9,,
"Q fever, total§",2014,20,,-,38,,3,,160,,135,,134,,131,,113,,
"Q fever, acute",2014,20,,-,28,,3,,121,,113,,110,,106,,93,,
"Q fever, chronic",2014,20,,-,10,,0,,39,,22,,24,,25,,20,,
"Rabies, human",2014,20,,-,,-,0,,,-,1,,6,,2,,4,,
Rubella†††,2014,20,,-,2,,0,,10,,9,,4,,5,,3,,
"Rubella, congenital syndrome",2014,20,,-,,-,,-,1,,3,,,-,,-,2,,
SARS-CoV§,2014,20,,-,,-,,-,,-,,-,,-,,-,,-,
Streptococcal toxic-shock syndrome§,2014,20,1,,62,,4,,223,,194,,168,,142,,161,,MI (1 )
"Syphilis, congenital (age <1 yr)§§§",2014,20,,-,63,,6,,294,,322,,360,,377,,423,,
Tetanus,2014,20,,-,6,,0,,25,,37,,36,,26,,18,,
Toxic-shock syndrome (staphylococcal)§,2014,20,2,,18,,2,,72,,65,,78,,82,,74,,"MI (1 ), TN (1 )"
Trichinellosis,2014,20,,-,2,,0,,20,,18,,15,,7,,13,,
Tularemia,2014,20,,-,10,,4,,202,,149,,166,,124,,93,,
Typhoid fever,2014,20,3,,95,,7,,339,,354,,390,,467,,397,,"MD (2 ), FL (1 )"
Vancomycin-intermediate Staphylococcus aureus§,2014,20,1,,69,,2,,244,,134,,82,,91,,78,,NYC (1 )
Vancomycin-resistant Staphylococcus aureus§,2014,20,,-,,-,,-,,-,2,,,-,2,,1,,
Vibriosis (noncholera Vibrio species infections)§,2014,20,7,,119,,12,,1199,,1111,,832,,846,,789,,"NY (2 ), MD (1 ), FL (4 )"
Viral hemorrhagic fever¶¶¶,2014,20,,-,,-,,-,,-,,-,,-,1,,,NN,
Yellow fever,2014,20,,-,,-,,-,,-,,-,,-,,-,,-,
Anthrax,2014,21,,-,,-,,-,,-,,-,1,,,-,1,,
"Arboviral diseases, California serogroup virus disease§,¶",2014,21,,-,,-,0,,85,,81,,137,,75,,55,,
"Arboviral diseases, Eastern equine encephalitis virus disease§,¶",2014,21,,-,,-,,-,7,,15,,4,,10,,4,,
"Arboviral diseases, Powassan virus disease§,¶",2014,21,,-,,-,1,,15,,7,,16,,8,,6,,
"Arboviral diseases, St. Louis encephalitis virus disease§,¶",2014,21,,-,,-,0,,1,,3,,6,,10,,12,,
"Arboviral diseases, Western equine encephalitis virus disease§,¶",2014,21,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, total",2014,21,1,,39,,3,,151,,168,,153,,112,,118,,
"Botulism, foodborne",2014,21,,-,,-,0,,4,,27,,24,,7,,10,,
"Botulism, infant",2014,21,1,,31,,2,,135,,123,,97,,80,,83,,WA (1 )
"Botulism, other (wound and unspecified)",2014,21,,-,8,,0,,12,,18,,32,,25,,25,,
Brucellosis,2014,21,1,,16,,3,,102,,114,,79,,115,,115,,TX (1 )
Chancroid,2014,21,,-,7,,0,,10,,15,,8,,24,,28,,
Cholera,2014,21,,-,,-,0,,4,,17,,40,,13,,10,,
Cyclosporiasis§,2014,21,,-,22,,3,,786,,123,,151,,179,,141,,
Diphtheria,2014,21,,-,1,,,-,,-,1,,,-,,-,,-,
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,21,,-,12,,0,,31,,30,,14,,23,,35,,
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,21,,-,68,,4,,222,,205,,145,,200,,236,,
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,21,3,,116,,4,,185,,210,,226,,223,,178,,"FL (2 ), OK (1 )"
Hansen disease§,2014,21,,-,17,,2,,81,,82,,82,,98,,103,,
Hantavirus pulmonary syndrome§,2014,21,1,,4,,1,,16,,30,,23,,20,,20,,OK (1 )
"Hemolytic uremic syndrome, postdiarrheal§",2014,21,1,,33,,5,,326,,274,,290,,266,,242,,MO (1 )
"Hepatitis B, virus infection perinatal",2014,21,,-,16,,1,,45,,40,,,U,,U,,U,
"Influenza-associated pediatric mortality§,††",2014,21,1,,87,,2,,164,,52,,118,,61,,358,,NJ (1 )
Leptospirosis,2014,21,,-,4,,0,,,NN,,NN,,NN,,NN,,NN,
Listeriosis,2014,21,10,,168,,13,,731,,727,,870,,821,,851,,"NY (2 ), PA (2 ), OH (2 ), MD (1 ), MS (1 ), ID (1 ), WA (1 )"
Measles§§,2014,21,87,,307,,6,,185,,55,,220,,63,,71,,"OH (72 ), WA (14 ), CA (1 )"
"Meningococcal disease, invasive¶¶, A, C, Y, and W-135",2014,21,,-,46,,5,,142,,161,,257,,280,,301,,
"Meningococcal disease, invasive¶¶, serogroup B",2014,21,,-,28,,3,,98,,110,,159,,135,,174,,
"Meningococcal disease, invasive¶¶, other serogroup",2014,21,,-,5,,0,,18,,20,,20,,12,,23,,
"Meningococcal disease, invasive¶¶, unknown serogroup",2014,21,1,,123,,6,,301,,260,,323,,406,,482,,MD (1 )
Novel influenza A virus infections***,2014,21,,-,,-,415,,21,,313,,14,,4,,43774,,
Plague,2014,21,,-,1,,0,,4,,4,,3,,2,,8,,
"Poliomyelitis, paralytic",2014,21,,-,,-,,-,1,,,-,,-,,-,1,,
"Polio virus Infection, nonparalytic§",2014,21,,-,,-,,-,,-,,-,,-,,-,,-,
Psittacosis§,2014,21,,-,,-,0,,6,,2,,2,,4,,9,,
"Q fever, total§",2014,21,1,,42,,3,,154,,135,,134,,131,,113,,
"Q fever, acute",2014,21,1,,31,,2,,121,,113,,110,,106,,93,,FL (1 )
"Q fever, chronic",2014,21,,-,11,,0,,33,,22,,24,,25,,20,,
"Rabies, human",2014,21,,-,,-,0,,,-,1,,6,,2,,4,,
Rubella†††,2014,21,,-,2,,0,,10,,9,,4,,5,,3,,
"Rubella, congenital syndrome",2014,21,,-,,-,0,,1,,3,,,-,,-,2,,
SARS-CoV§,2014,21,,-,,-,,-,,-,,-,,-,,-,,-,
Smallpox§,2014,21,,-,,-,,-,,-,,-,,-,,-,,-,
Streptococcal toxic-shock syndrome§,2014,21,1,,67,,4,,223,,194,,168,,142,,161,,ME (1 )
"Syphilis, congenital (age <1 yr)§§§",2014,21,,-,68,,6,,341,,322,,360,,377,,423,,
Tetanus,2014,21,,-,6,,0,,25,,37,,36,,26,,18,,
Toxic-shock syndrome (staphylococcal)§,2014,21,,-,18,,2,,72,,65,,78,,82,,74,,
Trichinellosis,2014,21,,-,2,,0,,20,,18,,15,,7,,13,,
Tularemia,2014,21,2,,11,,5,,202,,149,,166,,124,,93,,"MO (1 ), OK (1 )"
Typhoid fever,2014,21,2,,105,,7,,339,,354,,390,,467,,397,,"OH (1 ), OK (1 )"
Vancomycin-intermediate Staphylococcus aureus§,2014,21,3,,76,,2,,244,,134,,82,,91,,78,,"NY (1 ), MO (2 )"
Vancomycin-resistant Staphylococcus aureus§,2014,21,,-,,-,,-,,-,2,,,-,2,,1,,
Vibriosis (noncholera Vibrio species infections)§,2014,21,8,,138,,14,,1199,,1111,,832,,846,,789,,"NY (1 ), NC (1 ), SC (1 ), FL (3 ), TX (1 ), OR (1 )"
Viral hemorrhagic fever¶¶¶,2014,21,,-,,-,,-,,-,,-,,-,1,,,NN,
Yellow fever,2014,21,,-,,-,,-,,-,,-,,-,,-,,-,
Anthrax,2014,22,,-,,-,,-,,-,,-,1,,,-,1,,
"Arboviral diseases, California serogroup virus disease§,¶",2014,22,,-,,-,1,,85,,81,,137,,75,,55,,
"Arboviral diseases, Eastern equine encephalitis virus disease§,¶",2014,22,,-,,-,,-,7,,15,,4,,10,,4,,
"Arboviral diseases, Powassan virus disease§,¶",2014,22,,-,,-,1,,15,,7,,16,,8,,6,,
"Arboviral diseases, St. Louis encephalitis virus disease§,¶",2014,22,,-,,-,0,,1,,3,,6,,10,,12,,
"Arboviral diseases, Western equine encephalitis virus disease§,¶",2014,22,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, total",2014,22,,-,42,,3,,152,,168,,153,,112,,118,,
"Botulism, foodborne",2014,22,,-,,-,0,,4,,27,,24,,7,,10,,
"Botulism, infant",2014,22,,-,33,,2,,136,,123,,97,,80,,83,,
"Botulism, other (wound and unspecified)",2014,22,,-,9,,0,,12,,18,,32,,25,,25,,
Brucellosis,2014,22,,-,19,,2,,100,,114,,79,,115,,115,,
Chancroid,2014,22,1,,7,,0,,10,,15,,8,,24,,28,,NY (1 )
Cholera,2014,22,,-,,-,0,,4,,17,,40,,13,,10,,
Cyclosporiasis§,2014,22,,-,22,,4,,784,,123,,151,,179,,141,,
Diphtheria,2014,22,,-,1,,,-,,-,1,,,-,,-,,-,
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,22,,-,12,,0,,31,,30,,14,,23,,35,,
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,22,,-,71,,4,,222,,205,,145,,200,,236,,
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,22,2,,119,,4,,185,,210,,226,,223,,178,,"FL (1 ), CO (1 )"
Hansen disease§,2014,22,1,,18,,2,,81,,82,,82,,98,,103,,NYC (1 )
Hantavirus pulmonary syndrome§,2014,22,,-,5,,1,,16,,30,,23,,20,,20,,
"Hemolytic uremic syndrome, postdiarrheal§",2014,22,2,,37,,5,,329,,274,,290,,266,,242,,"TN (1 ), TX (1 )"
"Hepatitis B, virus infection perinatal",2014,22,4,,20,,1,,50,,40,,,U,,U,,U,CA (4 )
"Influenza-associated pediatric mortality§,††",2014,22,1,,88,,2,,164,,52,,118,,61,,358,,AZ (1 )
Leptospirosis,2014,22,,-,4,,0,,,NN,,NN,,NN,,NN,,NN,
Listeriosis,2014,22,4,,175,,14,,730,,727,,870,,821,,851,,"NYC (1 ), PA (2 ), SC (1 )"
Measles§§,2014,22,29,,335,,5,,186,,55,,220,,63,,71,,OH (29 )
"Meningococcal disease, invasive¶¶, A, C, Y, and W-135",2014,22,,-,46,,4,,142,,161,,257,,280,,301,,
"Meningococcal disease, invasive¶¶, serogroup B",2014,22,,-,29,,3,,98,,110,,159,,135,,174,,
"Meningococcal disease, invasive¶¶, other serogroup",2014,22,,-,6,,0,,18,,20,,20,,12,,23,,
"Meningococcal disease, invasive¶¶, unknown serogroup",2014,22,2,,125,,6,,301,,260,,323,,406,,482,,"FL (1 ), OR (1 )"
Novel influenza A virus infections***,2014,22,,-,,-,435,,21,,313,,14,,4,,43774,,
Plague,2014,22,,-,1,,0,,4,,4,,3,,2,,8,,
"Poliomyelitis, paralytic",2014,22,,-,,-,,-,1,,,-,,-,,-,1,,
"Polio virus Infection, nonparalytic§",2014,22,,-,,-,,-,,-,,-,,-,,-,,-,
Psittacosis§,2014,22,,-,,-,0,,6,,2,,2,,4,,9,,
"Q fever, total§",2014,22,,-,48,,3,,153,,135,,134,,131,,113,,
"Q fever, acute",2014,22,,-,36,,3,,120,,113,,110,,106,,93,,
"Q fever, chronic",2014,22,,-,12,,1,,33,,22,,24,,25,,20,,
"Rabies, human",2014,22,,-,,-,0,,,-,1,,6,,2,,4,,
Rubella†††,2014,22,1,,4,,0,,9,,9,,4,,5,,3,,PA (1 )
"Rubella, congenital syndrome",2014,22,,-,,-,0,,1,,3,,,-,,-,2,,
SARS-CoV§,2014,22,,-,,-,,-,,-,,-,,-,,-,,-,
Smallpox§,2014,22,,-,,-,,-,,-,,-,,-,,-,,-,
Streptococcal toxic-shock syndrome§,2014,22,3,,74,,3,,223,,194,,168,,142,,161,,NY (3 )
"Syphilis, congenital (age <1 yr)§§§",2014,22,,-,70,,6,,341,,322,,360,,377,,423,,
Tetanus,2014,22,,-,7,,0,,26,,37,,36,,26,,18,,
Toxic-shock syndrome (staphylococcal)§,2014,22,,-,18,,2,,73,,65,,78,,82,,74,,
Trichinellosis,2014,22,,-,2,,0,,20,,18,,15,,7,,13,,
Tularemia,2014,22,3,,14,,6,,202,,149,,166,,124,,93,,"AR (2 ), OK (1 )"
Typhoid fever,2014,22,,-,108,,7,,338,,354,,390,,467,,397,,
Vancomycin-intermediate Staphylococcus aureus§,2014,22,1,,77,,2,,244,,134,,82,,91,,78,,NC (1 )
Vancomycin-resistant Staphylococcus aureus§,2014,22,,-,,-,,-,,-,2,,,-,2,,1,,
Vibriosis (noncholera Vibrio species infections)§,2014,22,4,,144,,16,,1199,,1111,,832,,846,,789,,"OH (1 ), MD (1 ), FL (1 ), WA (1 )"
Viral hemorrhagic fever¶¶¶,2014,22,,-,,-,,-,,-,,-,,-,1,,,NN,
Yellow fever,2014,22,,-,,-,,-,,-,,-,,-,,-,,-,
Anthrax,2014,23,,-,,-,,-,,-,,-,1,,,-,1,,
"Arboviral diseases, California serogroup virus disease§,¶",2014,23,,-,,-,1,,85,,81,,137,,75,,55,,
Smallpox§,2014,39,,-,,-,,-,,-,,-,,-,,-,,-,
"Arboviral diseases, Eastern equine encephalitis virus disease§,¶",2014,23,,-,,-,0,,7,,15,,4,,10,,4,,
"Arboviral diseases, Powassan virus disease§,¶",2014,23,,-,,-,1,,15,,7,,16,,8,,6,,
"Arboviral diseases, St. Louis encephalitis virus disease§,¶",2014,23,,-,,-,0,,1,,3,,6,,10,,12,,
"Arboviral diseases, Western equine encephalitis virus disease§,¶",2014,23,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, total",2014,23,,-,45,,3,,152,,168,,153,,112,,118,,
"Botulism, foodborne",2014,23,,-,,-,0,,4,,27,,24,,7,,10,,
"Botulism, infant",2014,23,,-,36,,2,,136,,123,,97,,80,,83,,
"Botulism, other (wound and unspecified)",2014,23,,-,9,,0,,12,,18,,32,,25,,25,,
Brucellosis,2014,23,,-,23,,2,,100,,114,,79,,115,,115,,
Chancroid,2014,23,1,,8,,0,,10,,15,,8,,24,,28,,WA (1 )
Cholera,2014,23,,-,,-,0,,4,,17,,40,,13,,10,,
Cyclosporiasis§,2014,23,1,,24,,9,,784,,123,,151,,179,,141,,FL (1 )
Diphtheria,2014,23,,-,1,,,-,,-,1,,,-,,-,,-,
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,23,,-,12,,0,,31,,30,,14,,23,,35,,
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,23,1,,73,,4,,222,,205,,145,,200,,236,,WA (1 )
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,23,3,,124,,4,,185,,210,,226,,223,,178,,"NY (1 ), OH (1 ), GA (1 )"
Hansen disease§,2014,23,1,,19,,2,,81,,82,,82,,98,,103,,NYC (1 )
Hantavirus pulmonary syndrome§,2014,23,,-,5,,1,,16,,30,,23,,20,,20,,
"Hemolytic uremic syndrome, postdiarrheal§",2014,23,3,,41,,5,,329,,274,,290,,266,,242,,"OK (2 ), ID (1 )"
"Hepatitis B, virus infection perinatal",2014,23,,-,20,,1,,50,,40,,,U,,U,,U,
"Influenza-associated pediatric mortality§,††",2014,23,,-,88,,2,,164,,52,,118,,61,,358,,
Leptospirosis,2014,23,,-,5,,0,,,NN,,NN,,NN,,NN,,NN,
Listeriosis,2014,23,5,,180,,14,,730,,727,,870,,821,,851,,"PA (2 ), FL (1 ), TX (1 ), OR (1 )"
Measles§§,2014,23,65,,402,,5,,186,,55,,220,,63,,71,,"OH (64 ), MO (1 )"
"Meningococcal disease, invasive¶¶, A, C, Y, and W-135",2014,23,,-,49,,4,,142,,161,,257,,280,,301,,
"Meningococcal disease, invasive¶¶, serogroup B",2014,23,,-,30,,3,,98,,110,,159,,135,,174,,
"Meningococcal disease, invasive¶¶, other serogroup",2014,23,1,,7,,0,,18,,20,,20,,12,,23,,VA (1 )
"Meningococcal disease, invasive¶¶, unknown serogroup",2014,23,4,,128,,6,,301,,260,,323,,406,,482,,"MO (1 ), FL (2 ), KY (1 )"
Novel influenza A virus infections***,2014,23,,-,,-,410,,21,,313,,14,,4,,43774,,
Plague,2014,23,,-,1,,0,,4,,4,,3,,2,,8,,
"Poliomyelitis, paralytic",2014,23,,-,,-,,-,1,,,-,,-,,-,1,,
"Polio virus Infection, nonparalytic§",2014,23,,-,,-,,-,,-,,-,,-,,-,,-,
Psittacosis§,2014,23,,-,,-,0,,6,,2,,2,,4,,9,,
"Q fever, total§",2014,23,,-,53,,3,,153,,135,,134,,131,,113,,
"Q fever, acute",2014,23,,-,39,,3,,121,,113,,110,,106,,93,,
"Q fever, chronic",2014,23,,-,14,,1,,32,,22,,24,,25,,20,,
"Rabies, human",2014,23,,-,,-,0,,,-,1,,6,,2,,4,,
Rubella†††,2014,23,,-,4,,0,,9,,9,,4,,5,,3,,
"Rubella, congenital syndrome",2014,23,,-,,-,0,,1,,3,,,-,,-,2,,
SARS-CoV§,2014,23,,-,,-,,-,,-,,-,,-,,-,,-,
Streptococcal toxic-shock syndrome§,2014,23,2,,78,,3,,223,,194,,168,,142,,161,,"ME (1 ), KY (1 )"
"Syphilis, congenital (age <1 yr)§§§",2014,23,,-,73,,6,,340,,322,,360,,377,,423,,
Tetanus,2014,23,,-,7,,0,,26,,37,,36,,26,,18,,
Toxic-shock syndrome (staphylococcal)§,2014,23,,-,18,,1,,71,,65,,78,,82,,74,,
Trichinellosis,2014,23,,-,2,,0,,20,,18,,15,,7,,13,,
Tularemia,2014,23,,-,17,,7,,202,,149,,166,,124,,93,,
Typhoid fever,2014,23,4,,115,,7,,338,,354,,390,,467,,397,,"NYC (1 ), CO (1 ), WA (2 )"
Vancomycin-intermediate Staphylococcus aureus§,2014,23,,-,79,,2,,244,,134,,82,,91,,78,,
Vancomycin-resistant Staphylococcus aureus§,2014,23,,-,,-,0,,,-,2,,,-,2,,1,,
Vibriosis (noncholera Vibrio species infections)§,2014,23,5,,157,,17,,1199,,1111,,832,,846,,789,,"NYC (1 ), VA (1 ), FL (2 ), TX (1 )"
Viral hemorrhagic fever¶¶¶,2014,23,,-,,-,,-,,-,,-,,-,1,,,NN,
Yellow fever,2014,23,,-,,-,,-,,-,,-,,-,,-,,-,
Anthrax,2014,24,,-,,-,,-,,-,,-,1,,,-,1,,
"Arboviral diseases, California serogroup virus disease§,¶",2014,24,,-,,-,2,,85,,81,,137,,75,,55,,
"Arboviral diseases, Eastern equine encephalitis virus disease§,¶",2014,24,,-,,-,0,,8,,15,,4,,10,,4,,
"Arboviral diseases, Powassan virus disease§,¶",2014,24,,-,,-,1,,15,,7,,16,,8,,6,,
"Arboviral diseases, St. Louis encephalitis virus disease§,¶",2014,24,,-,,-,0,,1,,3,,6,,10,,12,,
"Arboviral diseases, Western equine encephalitis virus disease§,¶",2014,24,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, total",2014,24,12,,59,,3,,152,,168,,153,,112,,118,,
"Botulism, foodborne",2014,24,,-,,-,0,,4,,27,,24,,7,,10,,
"Botulism, infant",2014,24,1,,38,,2,,136,,123,,97,,80,,83,,TX (1 )
"Botulism, other (wound and unspecified)",2014,24,11,,21,,0,,12,,18,,32,,25,,25,,CA (11 )
Brucellosis,2014,24,,-,26,,2,,99,,114,,79,,115,,115,,
Chancroid,2014,24,2,,10,,0,,10,,15,,8,,24,,28,,CA (2 )
Cholera,2014,24,,-,,-,0,,4,,17,,40,,13,,10,,
Cyclosporiasis§,2014,24,,-,24,,10,,784,,123,,151,,179,,141,,
Diphtheria,2014,24,,-,1,,,-,,-,1,,,-,,-,,-,
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,24,,-,12,,0,,31,,30,,14,,23,,35,,
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,24,,-,73,,4,,222,,205,,145,,200,,236,,
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,24,3,,130,,4,,184,,210,,226,,223,,178,,"NC (1 ), FL (1 ), OR (1 )"
Hansen disease§,2014,24,,-,19,,1,,81,,82,,82,,98,,103,,
Hantavirus pulmonary syndrome§,2014,24,,-,5,,0,,16,,30,,23,,20,,20,,
"Hemolytic uremic syndrome, postdiarrheal§",2014,24,4,,47,,6,,329,,274,,290,,266,,242,,"VA (1 ), OK (3 )"
"Hepatitis B, virus infection perinatal",2014,24,,-,20,,1,,50,,40,,,U,,U,,U,
"Influenza-associated pediatric mortality§,††",2014,24,,-,88,,2,,164,,52,,118,,61,,358,,
Leptospirosis,2014,24,,-,5,,0,,,NN,,NN,,NN,,NN,,NN,
Listeriosis,2014,24,2,,182,,15,,730,,727,,870,,821,,851,,PA (2 )
Measles§§,2014,24,1,,403,,4,,187,,55,,220,,63,,71,,WA (1 )
"Meningococcal disease, invasive¶¶, A, C, Y, and W-135",2014,24,2,,53,,4,,142,,161,,257,,280,,301,,WA (2 )
"Q fever, acute",2014,26,,-,49,,3,,121,,113,,110,,106,,93,,
"Meningococcal disease, invasive¶¶, serogroup B",2014,24,,-,31,,2,,99,,110,,159,,135,,174,,
"Meningococcal disease, invasive¶¶, other serogroup",2014,24,,-,7,,0,,17,,20,,20,,12,,23,,
"Meningococcal disease, invasive¶¶, unknown serogroup",2014,24,2,,131,,5,,298,,260,,323,,406,,482,,"PA (1 ), FL (1 )"
Novel influenza A virus infections***,2014,24,,-,,-,375,,21,,313,,14,,4,,43774,,
Plague,2014,24,,-,1,,0,,4,,4,,3,,2,,8,,
"Poliomyelitis, paralytic",2014,24,,-,,-,,-,1,,,-,,-,,-,1,,
"Polio virus Infection, nonparalytic§",2014,24,,-,,-,,-,,-,,-,,-,,-,,-,
Psittacosis§,2014,24,,-,,-,0,,6,,2,,2,,4,,9,,
"Q fever, total§",2014,24,2,,58,,3,,153,,135,,134,,131,,113,,
"Q fever, acute",2014,24,2,,44,,3,,121,,113,,110,,106,,93,,"NC (1 ), TX (1 )"
"Q fever, chronic",2014,24,,-,14,,0,,32,,22,,24,,25,,20,,
"Rabies, human",2014,24,,-,,-,0,,,-,1,,6,,2,,4,,
Rubella†††,2014,24,,-,4,,0,,9,,9,,4,,5,,3,,
"Rubella, congenital syndrome",2014,24,,-,,-,0,,1,,3,,,-,,-,2,,
SARS-CoV§,2014,24,,-,,-,,-,,-,,-,,-,,-,,-,
Smallpox§,2014,24,,-,,-,,-,,-,,-,,-,,-,,-,
Streptococcal toxic-shock syndrome§,2014,24,,-,80,,2,,223,,194,,168,,142,,161,,
"Syphilis, congenital (age <1 yr)§§§",2014,24,,-,77,,6,,344,,322,,360,,377,,423,,
Tetanus,2014,24,,-,8,,0,,26,,37,,36,,26,,18,,
Toxic-shock syndrome (staphylococcal)§,2014,24,,-,18,,1,,71,,65,,78,,82,,74,,
Trichinellosis,2014,24,,-,2,,0,,22,,18,,15,,7,,13,,
Tularemia,2014,24,3,,23,,7,,202,,149,,166,,124,,93,,MO (3 )
Typhoid fever,2014,24,5,,122,,7,,338,,354,,390,,467,,397,,"NYC (2 ), MD (1 ), GA (1 ), WA (1 )"
Vancomycin-intermediate Staphylococcus aureus§,2014,24,1,,80,,2,,244,,134,,82,,91,,78,,NY (1 )
Vancomycin-resistant Staphylococcus aureus§,2014,24,,-,,-,0,,,-,2,,,-,2,,1,,
Vibriosis (noncholera Vibrio species infections)§,2014,24,12,,176,,20,,1199,,1111,,832,,846,,789,,"NY (1 ), MD (2 ), SC (1 ), FL (4 ), LA (1 ), TX (2 ), CA (1 )"
Viral hemorrhagic fever¶¶¶,2014,24,,-,,-,,-,,-,,-,,-,1,,,NN,
Yellow fever,2014,24,,-,,-,,-,,-,,-,,-,,-,,-,
Anthrax,2014,25,,-,,-,,-,,-,,-,1,,,-,1,,
"Arboviral diseases, California serogroup virus disease§,¶",2014,25,,-,1,,2,,85,,81,,137,,75,,55,,
"Arboviral diseases, Eastern equine encephalitis virus disease§,¶",2014,25,,-,,-,0,,8,,15,,4,,10,,4,,
"Arboviral diseases, Powassan virus disease§,¶",2014,25,,-,,-,1,,15,,7,,16,,8,,6,,
"Arboviral diseases, St. Louis encephalitis virus disease§,¶",2014,25,,-,,-,0,,1,,3,,6,,10,,12,,
"Arboviral diseases, Western equine encephalitis virus disease§,¶",2014,25,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, total",2014,25,1,,59,,3,,152,,168,,153,,112,,118,,
"Botulism, foodborne",2014,25,,-,,-,0,,4,,27,,24,,7,,10,,
"Botulism, infant",2014,25,,-,38,,2,,136,,123,,97,,80,,83,,
"Botulism, other (wound and unspecified)",2014,25,1,,21,,0,,12,,18,,32,,25,,25,,CA (1 )
Brucellosis,2014,25,1,,30,,2,,99,,114,,79,,115,,115,,MT (1 )
Chancroid,2014,25,,-,8,,0,,10,,15,,8,,24,,28,,
Cholera,2014,25,,-,3,,0,,4,,17,,40,,13,,10,,
Cyclosporiasis§,2014,25,6,,34,,12,,784,,123,,151,,179,,141,,"MA (1 ), NY (3 ), NYC (1 ), TX (1 )"
Diphtheria,2014,25,,-,1,,,-,,-,1,,,-,,-,,-,
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,25,1,,14,,0,,31,,30,,14,,23,,35,,TN (1 )
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,25,,-,77,,4,,222,,205,,145,,200,,236,,
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,25,2,,134,,3,,184,,210,,226,,223,,178,,"NYC (1 ), OH (1 )"
Hansen disease§,2014,25,2,,22,,1,,81,,82,,82,,98,,103,,"OH (1 ), CA (1 )"
Hantavirus pulmonary syndrome§,2014,25,,-,5,,1,,16,,30,,23,,20,,20,,
